7.0,49.089,0.501,0.004
7.1,49.787,0.482,0.004
7.2,50.484,0.465,0.004
7.3,51.182,0.457,0.004
7.4,51.879,0.450,0.004
7.5,52.576,0.432,0.003
7.6,53.273,0.419,0.003
7.7,53.970,0.414,0.003
7.8,54.666,0.404,0.003
7.9,55.363,0.386,0.003
8.0,56.059,0.370,0.003
8.1,56.755,0.362,0.003
8.2,57.451,0.349,0.003
8.3,58.147,0.340,0.003
8.4,58.842,0.328,0.003
8.5,59.538,0.312,0.003
8.6,60.233,0.303,0.002
8.7,60.928,0.301,0.002
8.8,61.623,0.288,0.002
8.9,62.317,0.278,0.002
9.0,63.012,0.265,0.002
9.1,63.706,0.255,0.002
9.2,64.400,0.248,0.002
9.3,65.094,0.236,0.002
9.4,65.788,0.230,0.002
9.5,66.481,0.222,0.002
9.6,67.174,0.213,0.002
9.7,67.868,0.205,0.002
9.8,68.560,0.199,0.002
9.9,69.253,0.191,0.002
10.0,69.945,0.181,0.002
